plasmid,6.230844886887814
cells,5.0163756601643055
ng,4.4619088696797435
expression,4.022410824917504
elisa,4.0
rev,3.5779352338271875
post-transfection,3.1699250014423126
pdm128,3.1699250014423126
cat,2.5260688116675873
hek293,2.2309544348398718
roche,2.1560050240025466
reporter,2.0769482956292715
transfected,2.036757058629709
tbk1,2.026593645226916
ddx3x,2.0228095265444987
wt,2.0151464394096017
six-well,1.5849625007211563
k230a,1.5849625007211563
k38m,1.222392421336448
constant,1.1375035237499351
seeded,1.1375035237499351
plates,1.1154772174199359
empty,1.1154772174199359
content,1.0995356735509143
per,1.0544477840223765
normalized,1.0544477840223765
amounts,1.0473057147783569
added,1.0418201756946268
measured,1.0395283641866373
analysed,1.037474705418663
harvested,1.0324214776923775
instructions,1.029747343394052
manufacturer,1.027480736422107
samples,1.024662054234269
according,1.0188590272513158
well,1.0155968550510186
dna,1.007819504459299
indicated,1.0076535725434352
levels,1.0063695248757272
using,1.0037327188763299
